City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
231,ambodifotatra,-16.9833,49.85,23.66,81,42,3.53,MG,1727656145
232,lerwick,60.1545,-1.1494,10.96,87,100,7.38,GB,1727656146
233,balabac,7.9868,117.0645,27.56,78,100,0.89,PH,1727656148
234,souillac,-20.5167,57.5167,22.21,78,40,3.6,MU,1727656150
235,miandrivazo,-19.5167,45.4667,25.03,63,0,0.68,MG,1727656151
236,takum,7.2667,9.9833,21.5,96,22,1.01,NG,1727656153
237,salinopolis,-0.6136,-47.3561,26.92,80,83,5.48,BR,1727656154
238,miles city,46.4083,-105.8406,33.54,14,0,5.14,US,1727656156
239,neryungri,56.6709,124.6491,-0.96,78,99,4.17,RU,1727656159
240,sayan,-11.1361,-77.1933,21.08,69,48,1.37,PE,1727656162
241,dunedin,-45.8742,170.5036,15.45,65,30,3.58,NZ,1727656164
242,sinjai,-5.1241,120.253,28.51,68,95,2.62,ID,1727656165
243,tobruk,32.0836,23.9764,24.52,70,2,10.31,LY,1727656169
244,montagu,-40.7667,144.9667,13.47,68,2,5.89,AU,1727656172
245,calatayud,41.3535,-1.6432,17.91,39,9,1.64,ES,1727656174
246,mancora,-4.1078,-81.0475,22.45,72,88,7.15,PE,1727656175
247,karaidel',55.8337,56.9069,9.38,47,96,3.37,RU,1727656177
248,utrik,11.2278,169.8474,28.54,76,76,3.64,MH,1727656178
249,tralee,52.2704,-9.7026,11.35,94,100,3.64,IE,1727656180
250,barah,13.7,30.3667,27.72,57,85,7.33,SD,1727656182
251,la junta,37.985,-103.5438,29.16,18,0,7.2,US,1727656183
252,hobyo,5.3505,48.5268,24.7,89,37,5.56,SO,1727656185
253,mount gambier,-37.8333,140.7667,15.43,62,18,4.41,AU,1727656186
254,mek'ele,13.4967,39.4753,17.28,46,83,2.87,ET,1727656188
255,dolinsk,47.35,142.8,17.17,70,93,5.43,RU,1727656190
256,shihezi,44.3,86.0333,7.19,39,0,2.41,CN,1727656191
257,ardmore,34.1743,-97.1436,28.72,35,0,0.0,US,1727656193
258,zaozersk,69.4005,32.4476,1.78,86,99,9.44,RU,1727656195
259,jinghong,21.991,100.7341,22.32,89,96,0.46,CN,1727656198
260,bogo,11.0517,124.0055,28.89,68,100,1.76,PH,1727656199
261,iskateley,67.6803,53.1512,3.97,91,97,7.67,RU,1727656201
262,aasiaat,68.7098,-52.8699,3.16,96,100,12.42,GL,1727656203
263,howard springs,-12.497,131.047,31.6,73,55,3.26,AU,1727656204
264,ixtapa,20.7,-105.2,28.46,100,100,2.57,MX,1727656206
265,sosnovo-ozerskoye,52.5249,111.5418,-0.46,54,7,6.68,RU,1727656207
266,port lincoln,-34.7333,135.8667,17.26,60,0,4.41,AU,1727656209
267,papao,-17.75,-149.55,28.82,75,13,5.26,PF,1727656211
268,scarborough,54.2797,-0.4044,13.14,79,100,5.36,GB,1727656212
269,sinfra,6.6167,-5.9167,21.59,100,100,1.33,CI,1727656215
270,howell,42.6073,-83.9294,20.55,85,42,2.8,US,1727656217
271,mahibadhoo,3.7833,72.9667,28.02,76,100,3.9,MV,1727656219
